Feature,Score_(R^2)_Left,Score_(R^2)_Right,Score_(LASSO)_Left,Score_(LASSO)_Right,Score_(R^1)_Left,Score_(R^1)_Right,R1_Left,R1_Right,R2_Left,R2_Right,Coef_Left,Coef_Right,explained_variance_left,explained_variance_right,max_error_left,max_error_right,mean_absolute_error_left,mean_absolute_error_right,mean_squared_error_left,mean_squared_error_right,median_absolute_error_left,median_absolute_error_right,mean_absolute_percentage_error_left,mean_absolute_percentage_error_right,mean_pinball_loss_left,mean_pinball_loss_right,d2_pinball_score_left,d2_pinball_score_right,d2_absolute_error_score_left,d2_absolute_error_score_right
CSP1,0.09439649149269713,0.005850489410508697,0.052223156917896696,0.00497258288633029,-5.36369680680169e+16,-7003173464194478.0,27.99533060758831,28.193044365534753,1051.656224928771,1060.187965609292,0.0028056151088096328,0.004841067035027627,0.09439649149269713,0.005850489410508697,0.8852245569009933,10.519600336863528,0.14887249230049163,0.6220067540314103,0.0402688559148356,2.123599245779884,0.1292897797269361,0.4054259576383155,0.8356047809774406,2.406222061064399,0.07443624615024583,0.31100337701570513,0.015121656713983023,-0.07704783883559752,0.018721623264263743,-0.3226403026679101
CSP2,0.005838118399370207,0.02364602731139731,0.0,0.014628307320656564,-3.955058818215718e+16,-8437667518811887.0,28.05811608039649,28.063557279111706,1056.2368149685894,1056.7904859183673,0.0012538373523743199,0.0030366857841049675,0.005838118399370318,0.023646027311397422,2.5407818706688494,1.5188893642539725,0.21954986818649253,0.3278692463730871,0.14275702210829644,0.20303910373963346,0.17263728501038605,0.27741935217097424,0.6801886329729312,0.8717892552905819,0.10977493409324626,0.1639346231865435,-0.012520129045870965,0.0125262430935561,-0.1011686877983069,-0.0530712001530842
CSP3,0.00128806445416485,0.0075290042521506395,0.0,0.0,-1572881207102281.0,-2341532876773856.5,28.036671712199315,28.03554527642725,1054.7306114919488,1054.673415211365,0.00037606645703984986,0.0014219604176954799,0.00128806445416485,0.0075290042521506395,1.3846320969339558,1.6314232265618687,0.1462483479817324,0.2599623712711116,0.05847398687955492,0.1421301322321689,0.09680867772619409,0.2029738818066532,0.36892522362753366,0.5210385889085705,0.07312417399086621,0.12998118563555577,-0.010435863349495422,0.004024296086680201,-0.037227467813079285,-0.1224579884379291
E1_BP_15.5_18.5,0.0013493864018906399,0.03657528934366061,0.0,0.034508429572865706,-6.228585458726387e+16,-1.1640902494744165e+17,28.0935494679006,28.28252209602578,1057.4357638741296,1073.6100637365269,0.0017313342806327197,0.007888737680829483,0.0013493864018906399,0.03657528934366072,6.870429313992185,3.581730087362413,0.6915118987123478,0.6461998988540701,1.1829597398430693,0.8741297573507815,0.40151911538471496,0.38448969316350123,1.081317404805527,1.3509240475634037,0.3457559493561739,0.32309994942703507,-0.028456149085092308,0.013754134730979306,-0.09239794982475091,-0.009511190068111519
E1_BP_8_10.5,3.2425147691417244e-05,0.0007717207837292239,0.0,0.0,-1.436319738972955e+17,-inf,28.097713523710883,28.12802656964741,1059.3592621338805,1059.6192022527619,0.0002453862915185712,0.001110998253198356,3.242514769130622e-05,0.0007717207837292239,3.0811863348383555,3.1134196865418335,0.7973176224656847,0.710483371704161,0.9902284811188068,0.8522404359859715,0.733783287637241,0.6079952766245218,1.2651046885710862,1.377757979519495,0.39865881123284236,0.3552416858520805,-0.04885243083379853,-0.06690363980858138,-0.028314942660415454,-0.004442087412319662
E1_BP_10_15.5,0.0056478496022494,0.012708378279303156,0.003560728638498545,0.01125792920384927,-2.0748256113436364e+16,-3.049297635394041e+16,28.047251182743004,28.219027755945614,1055.983875621317,1068.9473732671986,0.0030848701441019417,0.005550894329777097,0.0056478496022494,0.012708378279303045,3.0930131303668067,3.6093057229801127,0.6910557497387015,0.8463501109373777,0.8934324718181272,1.2764743780756196,0.5510902973387536,0.7330437526139171,1.0673446531694013,1.0113777406106756,0.34552787486935077,0.42317505546868894,-0.0074569747704564815,-0.005400406258571966,-0.007561822065712098,-0.034485229859515076
E1_BP_17.5_20.5,0.0003368761901126893,0.010470478119860571,0.0,0.008949291715426133,-6.398759022588766e+16,-1.3795163189190405e+17,28.088910288509783,28.20875375957189,1058.734738769845,1068.2303151187573,0.0008202949989865181,0.0049199555041008845,0.0003368761901125783,0.010470478119860571,5.464427776146281,3.999690925889581,0.7104049595906009,0.7657853900550297,1.0647664217753647,1.2198753516646696,0.5189463102770178,0.5975399862590789,1.1509808197704232,1.1866231410982715,0.35520247979530045,0.38289269502751483,-0.027558573518786877,-0.01933118377092824,-0.04852431241749544,-0.06480626348921525
E1_BP_12.5_30,0.002933710068983686,0.015614095433063024,0.0011377210423044737,0.014291581508201756,-4.231102263396357e+16,-3.526477483848665e+16,28.05089742286727,28.22611060305823,1056.3228223389392,1069.6123182194215,0.002396767417837884,0.006443582952788835,0.002933710068983686,0.015614095433063024,5.375659613257211,5.374663117010039,0.7046200728549371,0.7830352996781951,1.0410929135751825,1.3958355944217764,0.5114959348609185,0.5726959754584406,0.9806730524241033,1.5866834888999932,0.35231003642746855,0.39151764983909754,0.002664184077388998,-0.01971795021615219,-0.0942501027560465,-0.08375703486713437
E1_RTP,0.006083054590788395,0.015927233689940756,0.0036515629379454406,0.014554376451676565,-1.1330579719732706e+17,-2.11628762696726e+16,28.176304120919127,28.238027434335276,1065.5770281374955,1070.4895700730312,0.0029661533573127597,0.006387436903010273,0.006083054590788506,0.01592723368994098,3.274251046578921,7.186646928259549,0.6289735243599053,0.7048653750565161,0.7665605195778452,1.3442219139895388,0.4330962121164662,0.45420852544623813,1.1141463399564053,1.3965578046113305,0.31448676217995264,0.352432687528258,-0.01521642118774702,-0.03485427222644977,-0.04633210137828181,-0.10689198414003265
E1_SPEC_MOM,4.002706899275399e-05,0.015739849534448402,0.0,0.014409759245401998,-6.197087364730352e+16,-inf,28.104258637630316,28.238840515037168,1060.1811800342316,1070.5719636982865,0.00024241197328670405,0.006451027046636855,4.002706899275399e-05,0.015739849534448402,2.355384122403299,5.729448038991281,0.688014907793727,0.7429261270012553,0.7828306553306991,1.3877074359931427,0.5354584417376971,0.5398171146469208,1.075228009529406,1.5793876569941343,0.3440074538968635,0.3714630635006277,-0.023344689281621145,-0.02451612749221921,-0.046811145506649554,-0.09203050413867042
