Model,Score
TK_rec_pr5_r2_score_QDA STA CV,0.3944444444444444
TK_rec_pr6_coef_DT STA CV,0.3944444444444444
TK_rec_pr1_r2_score_QDA STA CV,0.3950617283950617
TK_rec_pr4_explained_variance_NB STA,0.3950617283950617
TK_rec_pr4_Score_(LASSO)_Left_KNN-7 STA,0.3950617283950617
TK_rec_pr6_coef_KNN-5 STA,0.3950617283950617
TK_rec_pr4_mean_squared_error_SVC STA CV,0.395679012345679
TK_rec_pr0_r2_score_DT STA CV,0.3962962962962962
TK_rec_pr1_r2_dist_SVC STA CV,0.3969135802469135
TK_rec_pr4_max_error_QDA STA CV,0.3969135802469136
TK_rec_pr0_lasso_QDA STA,0.3975308641975308
TK_rec_pr0_r2_dist_LDA STA CV,0.3975308641975309
TK_rec_pr1_coef_QDA STA CV,0.3981481481481481
TK_rec_pr1_r1_dist_QDA STA CV,0.3981481481481481
TK_rec_pr2_r1_dist_QDA STA CV,0.3981481481481481
TK_rec_pr4_max_error_SVC STA CV,0.3981481481481481
TK_rec_pr0_lasso_DT STA CV,0.3987654320987654
TK_rec_pr2_lasso_DT STA CV,0.3987654320987654
TK_rec_pr4_coef_RF STA CV,0.3987654320987654
TK_rec_pr3_coef_LDA STA,0.3999999999999999
None_LDA STA,0.4
None_KNN-5 STA,0.4
None_NB STA,0.4
None_RF STA,0.4
TK_rec_pr3_coef_QDA STA,0.4
TK_rec_pr3_coef_DT STA,0.4
TK_rec_pr4_lasso_QDA STA,0.4
TK_rec_pr4_Coef_Left_RF STA CV,0.4006172839506172
TK_rec_pr5_lasso_QDA STA CV,0.4006172839506172
TK_rec_pr2_coef_DT STA CV,0.4006172839506173
TK_rec_pr2_r2_dist_QDA STA CV,0.4012345679012346
TK_rec_pr4_lasso_SVC STA CV,0.4018518518518518
TK_rec_pr1_lasso_DT STA CV,0.4024691358024692
TK_rec_pr4_explained_variance_RF STA,0.4024691358024692
TK_rec_pr4_Score_(LASSO)_Left_KNN-5 STA,0.4024691358024692
TK_rec_pr5_coef_KNN-7 STA,0.4024691358024692
TK_rec_pr1_r1_dist_SVC STA CV,0.4030864197530864
TK_rec_pr1_r2_dist_QDA STA CV,0.4030864197530864
TK_rec_pr2_coef_LDA STA CV,0.4030864197530864
TK_rec_pr3_SVC STA CV,0.4030864197530864
TK_rec_pr3_r2_dist_QDA STA CV,0.4030864197530864
TK_rec_pr5_SVC STA CV,0.404320987654321
TK_rec_pr5_r1_dist_SVC STA CV,0.404320987654321
TK_rec_pr4_mean_absolute_percentage_error_KNN-5 STA,0.4049382716049383
full_ga_class_results_DT STA CV,0.4055555555555555
TK_rec_pr2_SVC STA CV,0.4061728395061728
TK_rec_pr4_d2_pinball_score_SVC STA CV,0.4061728395061728
TK_rec_pr4_lasso_DT STA CV,0.4061728395061728
TK_rec_pr3_r1_dist_DT STA CV,0.4061728395061729
TK_rec_pr2_coef_KNN-7 STA,0.4074074074074073
TK_rec_pr3_r1_dist_SVC STA CV,0.4074074074074073
TK_rec_pr0_r2_score_QDA STA,0.4074074074074074
TK_rec_pr1_lasso_SVC STA CV,0.4074074074074074
TK_rec_pr4_coef_LDA STA CV,0.4074074074074074
TK_rec_pr4_Coef_Left_LDA STA CV,0.4074074074074074
TK_rec_pr0_r2_dist_RF STA CV,0.4080246913580246
TK_rec_pr0_r2_dist_DT STA CV,0.4080246913580247
TK_rec_pr2_r1_dist_SVC STA CV,0.4080246913580247
TK_rec_pr6_coef_RF STA CV,0.408641975308642
TK_rec_pr3_lasso_DT STA CV,0.4092592592592592
TK_rec_pr0_lasso_RF STA CV,0.4098765432098765
TK_rec_pr3_DT STA CV,0.4098765432098765
TK_rec_pr0_lasso_DT STA,0.4098765432098766
TK_rec_pr1_lasso_KNN-7 STA,0.4098765432098766
TK_rec_pr2_coef_SVC STA,0.4098765432098766
TK_rec_pr4_median_absolute_error_QDA STA CV,0.4104938271604939
TK_rec_pr0_DT STA CV,0.411111111111111
TK_rec_pr1_r2_dist_DT STA CV,0.4117283950617284
TK_rec_pr4_mean_absolute_error_QDA STA CV,0.4117283950617284
TK_rec_pr4_mean_pinball_loss_QDA STA CV,0.4117283950617284
TK_rec_pr5_coef_RF STA CV,0.4117283950617284
TK_rec_pr2_coef_KNN-5 STA,0.4123456790123456
TK_rec_pr5_r2_dist_QDA STA CV,0.4123456790123456
TK_rec_pr0_lasso_LDA STA CV,0.4123456790123457
TK_rec_pr3_coef_KNN-5 STA,0.4123456790123457
TK_rec_pr4_Score_(LASSO)_Left_SVC STA,0.4123456790123457
TK_rec_pr4_Score_(LASSO)_Left_DT STA CV,0.4129629629629629
TK_rec_pr5_lasso_DT STA CV,0.4129629629629629
TK_rec_pr2_QDA STA CV,0.412962962962963
TK_rec_pr2_r2_score_DT STA CV,0.412962962962963
def_vals_pr3_r2_score_DT STA CV,0.4135802469135802
TK_rec_pr4_r1_dist_SVC STA CV,0.4141975308641975
TK_rec_pr4_R1_Left_SVC STA CV,0.4141975308641975
TK_rec_pr3_coef_RF STA CV,0.4148148148148147
TK_rec_pr4_r2_score_SVC STA CV,0.4148148148148147
TK_rec_pr5_r2_score_DT STA CV,0.4148148148148147
TK_rec_pr0_r2_dist_LDA STA,0.4148148148148148
TK_rec_pr0_r2_score_DT STA,0.4148148148148148
TK_rec_pr2_coef_LDA STA,0.4148148148148148
TK_rec_pr5_r2_dist_DT STA CV,0.4148148148148148
TK_rec_pr4_r2_dist_SVC STA CV,0.4148148148148149
TK_rec_pr4_R2_Left_SVC STA CV,0.4148148148148149
TK_rec_pr1_r2_score_SVC STA CV,0.415432098765432
TK_rec_pr4_mean_squared_error_QDA STA CV,0.415432098765432
TK_rec_pr3_coef_LDA STA CV,0.4160493827160493
