Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.5000000000000001
KNN5,0.6
KNN5 CV,0.6333333333333333
KNN7,0.5333333333333333
KNN7 CV,0.55
SVC,0.4
SVC CV,0.5333333333333334
NB,0.26666666666666666
NB CV,0.5666666666666667
LR,0.4
LR CV,0.5166666666666667
LDA GA,0.3333333333333333
LDA GA CV,0.5833333333333333
KNN5 GA,0.4
KNN5 GA CV,0.6000000000000001
KNN7 GA,0.26666666666666666
KNN7 GA CV,0.4833333333333333
SVC GA,0.4
SVC GA CV,0.4833333333333333
NB GA,0.5333333333333333
NB GA CV,0.65
LR GA,0.4666666666666667
LR GA CV,0.5166666666666667
MV,0.4
MV_GA,0.4666666666666667
MV_ALL,0.4
STACKING,0.4666666666666667
OSTACKING ,0.4666666666666667
OSTACKING GA,0.5333333333333333
OSTACKING ALL,0.6
MV CV,0.5833333333333333
MV_GA CV,0.5833333333333333
MV_ALL CV,0.6
OSTACKING  CV,0.5
OSTACKING GA CV,0.5333333333333334
OSTACKING ALL CV,0.5166666666666666
