,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8222222222222222,2023-05-30 21:17:58.858728,2023-05-30 21:18:04.084645,0 days 00:00:05.225917,0.7733655337557637,0.5581640888042574,4,12,0.09655600430371625,0.22080188050093083,50,131,COMPLETE
1,1,0.8666666666666667,2023-05-30 21:18:04.085213,2023-05-30 21:18:06.977356,0 days 00:00:02.892143,0.7320613284203701,0.45096598184274894,4,11,0.09789572485441933,0.22536958674113494,50,129,COMPLETE
2,2,0.7777777777777778,2023-05-30 21:18:06.977764,2023-05-30 21:18:09.418706,0 days 00:00:02.440942,0.5268705910128704,0.4370669499694221,4,6,0.08711562805370737,0.34241634844558905,40,134,COMPLETE
3,3,0.7333333333333333,2023-05-30 21:18:09.419073,2023-05-30 21:18:14.122150,0 days 00:00:04.703077,0.21499841031815364,0.6387529283959165,4,10,0.08204661187859105,0.20744832694590032,60,132,COMPLETE
4,4,0.6888888888888889,2023-05-30 21:18:14.122562,2023-05-30 21:18:16.995928,0 days 00:00:02.873366,0.33144109520995024,0.5758215934426416,3,8,0.04609145129578113,0.21242743421838448,50,122,COMPLETE
5,5,0.8222222222222222,2023-05-30 21:18:16.996324,2023-05-30 21:18:21.868693,0 days 00:00:04.872369,0.32630893113408377,0.6365050297678398,4,7,0.039375658472121204,0.24011641925671104,40,175,COMPLETE
6,6,0.8444444444444444,2023-05-30 21:18:21.869071,2023-05-30 21:18:27.521505,0 days 00:00:05.652434,0.5999521941026269,0.3817303505552973,5,9,0.03964527203035048,0.3490720561604581,40,149,COMPLETE
7,7,0.8,2023-05-30 21:18:27.521895,2023-05-30 21:18:31.891946,0 days 00:00:04.370051,0.3184768205092088,0.6397964911096274,5,6,0.08800416689200127,0.2771112790111312,60,142,COMPLETE
8,8,0.8,2023-05-30 21:18:31.892371,2023-05-30 21:18:36.013363,0 days 00:00:04.120992,0.5452532115175639,0.43132301195180406,5,9,0.09413155032350637,0.3230943010892503,50,166,COMPLETE
9,9,0.8666666666666667,2023-05-30 21:18:36.013798,2023-05-30 21:18:43.753348,0 days 00:00:07.739550,0.36579191450979176,0.35587946113901725,5,11,0.027808378465327164,0.332763816335355,40,165,COMPLETE
10,10,0.8,2023-05-30 21:18:43.753729,2023-05-30 21:18:46.100903,0 days 00:00:02.347174,0.7958563593670896,0.3052728577255496,3,15,0.06841047874080677,0.1780050596883931,50,120,COMPLETE
11,11,0.8222222222222222,2023-05-30 21:18:46.101355,2023-05-30 21:18:52.001381,0 days 00:00:05.900026,0.10067585647078081,0.484090453798003,5,12,0.02955688222726952,0.2779062350482863,40,162,COMPLETE
12,12,0.7777777777777778,2023-05-30 21:18:52.001808,2023-05-30 21:18:54.466344,0 days 00:00:02.464536,0.6791106853435231,0.3471867812600561,3,12,0.06676539781019106,0.15166094323331186,50,159,COMPLETE
13,13,0.8444444444444444,2023-05-30 21:18:54.466729,2023-05-30 21:19:00.505095,0 days 00:00:06.038366,0.44768024794254285,0.39815723139281395,4,14,0.0547377970787836,0.2963727192759364,40,178,COMPLETE
14,14,0.8222222222222222,2023-05-30 21:19:00.505466,2023-05-30 21:19:10.141141,0 days 00:00:09.635675,0.6770629215113404,0.47267869051331945,5,11,0.0265684293473738,0.3084688989644695,60,149,COMPLETE
15,15,0.8666666666666667,2023-05-30 21:19:10.141599,2023-05-30 21:19:14.644829,0 days 00:00:04.503230,0.4575715682780503,0.3051796977155391,4,13,0.0755034138239469,0.25634192084600965,50,169,COMPLETE
16,16,0.8222222222222222,2023-05-30 21:19:14.645233,2023-05-30 21:19:19.493020,0 days 00:00:04.847787,0.448877561755606,0.3690456083118556,5,10,0.05521202128815543,0.24914025767380388,40,156,COMPLETE
17,17,0.7333333333333333,2023-05-30 21:19:19.493423,2023-05-30 21:19:23.060912,0 days 00:00:03.567489,0.6941686881561926,0.5180412944539413,3,11,0.07612760489378242,0.32301626244161813,40,142,COMPLETE
18,18,0.8666666666666667,2023-05-30 21:19:23.061349,2023-05-30 21:19:28.597447,0 days 00:00:05.536098,0.39365647714593993,0.4187813568350457,4,14,0.06117021547376582,0.2818848849718427,50,154,COMPLETE
19,19,0.7777777777777778,2023-05-30 21:19:28.597828,2023-05-30 21:19:32.387483,0 days 00:00:03.789655,0.561134585645801,0.35004358321664325,5,8,0.09976909547823104,0.25739343325511255,60,170,COMPLETE
