Classifier,Success Rate
LDA,0.6666666666666666
LDA CV,0.6666666666666667
SVC,0.6666666666666666
SVC CV,0.7
NB,0.6666666666666666
NB CV,0.6166666666666666
LR,0.7333333333333333
LR CV,0.7
LDA GA,0.7333333333333333
LDA GA CV,0.7333333333333334
SVC GA,0.6666666666666666
SVC GA CV,0.75
NB GA,0.6666666666666666
NB GA CV,0.7333333333333334
LR GA,0.6
LR GA CV,0.6666666666666666
MV,0.6666666666666666
MV_GA,0.6666666666666666
MV_ALL,0.7333333333333333
STACKING,0.6666666666666666
OSTACKING ,0.6666666666666666
OSTACKING GA,0.6666666666666666
OSTACKING ALL,0.7333333333333333
MV CV,0.7166666666666667
MV_GA CV,0.75
MV_ALL CV,0.7166666666666666
OSTACKING  CV,0.65
OSTACKING GA CV,0.7
OSTACKING ALL CV,0.7166666666666666
