Classifier,Success Rate
LDA,0.6666666666666666
LDA CV,0.6666666666666667
KNN-5,0.6666666666666666
KNN-5 CV,0.7333333333333333
KNN-7,0.6
KNN-7 CV,0.7333333333333333
SVC,0.6666666666666666
SVC CV,0.7
NB,0.6666666666666666
NB CV,0.6166666666666666
LR,0.7333333333333333
LR CV,0.7
LDA GA,0.6666666666666666
LDA GA CV,0.7166666666666666
KNN5 GA,0.6
KNN5 GA CV,0.6333333333333334
KNN7 GA,0.6666666666666666
KNN7 GA CV,0.6
SVC GA,0.4
SVC GA CV,0.6333333333333334
NB GA,0.6666666666666666
NB GA CV,0.7166666666666667
LR GA,0.6666666666666666
LR GA CV,0.6666666666666667
MV,0.6666666666666666
MV_GA,0.7333333333333333
MV_ALL,0.6666666666666666
STACKING,0.7333333333333333
OSTACKING ,0.7333333333333333
OSTACKING GA,0.7333333333333333
OSTACKING ALL,0.6666666666666666
MV CV,0.6
MV GA CV,0.6666666666666666
MV ALL CV,0.8
OSTACKING CV,0.6666666666666666
OSTACKING GA CV,0.6
OSTACKING ALL CV,0.6666666666666666
