,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8,2023-05-31 00:42:51.776948,2023-05-31 00:42:59.410785,0 days 00:00:07.633837,0.2807188741502223,0.47115244812897283,4,10,0.031574872667111294,0.267134179698607,40,145,COMPLETE
1,1,0.8222222222222222,2023-05-31 00:42:59.411188,2023-05-31 00:43:01.979940,0 days 00:00:02.568752,0.17358944709336915,0.5830166385971156,3,7,0.09004733803795326,0.3479597431186807,60,155,COMPLETE
2,2,0.8,2023-05-31 00:43:01.980312,2023-05-31 00:43:12.985944,0 days 00:00:11.005632,0.6531503528052688,0.5268620843518691,5,9,0.028355410533252617,0.2804155401077389,50,156,COMPLETE
3,3,0.8666666666666667,2023-05-31 00:43:12.986357,2023-05-31 00:43:26.020614,0 days 00:00:13.034257,0.24023332605952002,0.3404341994954765,5,13,0.03734618922935615,0.29632783393698514,60,131,COMPLETE
4,4,0.8444444444444444,2023-05-31 00:43:26.020988,2023-05-31 00:43:32.780351,0 days 00:00:06.759363,0.6415859082556784,0.5236257779633191,5,7,0.07624838320291569,0.28110570471653784,60,153,COMPLETE
5,5,0.8222222222222222,2023-05-31 00:43:32.780737,2023-05-31 00:43:37.600287,0 days 00:00:04.819550,0.28143694282029363,0.5845575394461211,5,7,0.04104042638695406,0.2142845960931551,40,141,COMPLETE
6,6,0.8888888888888888,2023-05-31 00:43:37.600668,2023-05-31 00:43:45.891122,0 days 00:00:08.290454,0.5069116175198685,0.47568893521133293,4,14,0.026869414523289656,0.22633800541462368,60,127,COMPLETE
7,7,0.7333333333333333,2023-05-31 00:43:45.891520,2023-05-31 00:43:50.978198,0 days 00:00:05.086678,0.11036808184879632,0.6760718843973298,4,6,0.03889120198329458,0.29145549741420185,60,164,COMPLETE
8,8,0.8444444444444444,2023-05-31 00:43:50.978579,2023-05-31 00:43:55.178118,0 days 00:00:04.199539,0.6337383582370679,0.6599413185814477,3,8,0.07291269189199456,0.23091341094131745,60,149,COMPLETE
9,9,0.8222222222222222,2023-05-31 00:43:55.178530,2023-05-31 00:44:00.137298,0 days 00:00:04.958768,0.7436040304625388,0.5951828577501547,5,7,0.08150377890711737,0.23006819482965385,50,164,COMPLETE
10,10,0.8666666666666667,2023-05-31 00:44:00.137677,2023-05-31 00:44:04.252248,0 days 00:00:04.114571,0.4539311481896063,0.41795034529021213,4,15,0.053063119906561734,0.16488435104914728,40,120,COMPLETE
11,11,0.8666666666666667,2023-05-31 00:44:04.252634,2023-05-31 00:44:15.180050,0 days 00:00:10.927416,0.47699064134538405,0.31521309695928723,4,13,0.025034613665206706,0.31939225164043467,60,128,COMPLETE
12,12,0.7777777777777778,2023-05-31 00:44:15.180467,2023-05-31 00:44:20.525204,0 days 00:00:05.344737,0.3424700663753502,0.3570202759548732,3,13,0.05157087383958127,0.19592187931696697,60,133,COMPLETE
13,13,0.9111111111111111,2023-05-31 00:44:20.525585,2023-05-31 00:44:29.782434,0 days 00:00:09.256849,0.5119015793254533,0.4132189096930222,4,12,0.043557146206446115,0.2584022702278661,60,177,COMPLETE
14,14,0.8444444444444444,2023-05-31 00:44:29.782821,2023-05-31 00:44:37.922843,0 days 00:00:08.140022,0.47413522691580134,0.4231000947546361,4,15,0.04991092490056563,0.25117119112842545,60,177,COMPLETE
15,15,0.9111111111111111,2023-05-31 00:44:37.923269,2023-05-31 00:44:43.673929,0 days 00:00:05.750660,0.5455677979167834,0.4018397129251881,4,11,0.0657873153083886,0.24942327379022727,50,180,COMPLETE
16,16,0.8444444444444444,2023-05-31 00:44:43.674312,2023-05-31 00:44:48.100198,0 days 00:00:04.425886,0.5669515805256856,0.3949803845468792,3,11,0.06326564309236042,0.2545940500172234,50,179,COMPLETE
17,17,0.8444444444444444,2023-05-31 00:44:48.100585,2023-05-31 00:44:54.573943,0 days 00:00:06.473358,0.388463206314164,0.39615628233701233,4,11,0.06191102132536617,0.258692822564193,50,170,COMPLETE
18,18,0.8444444444444444,2023-05-31 00:44:54.574337,2023-05-31 00:44:58.695257,0 days 00:00:04.120920,0.5650426210636388,0.31492188617006756,3,11,0.061264328058968226,0.24504041629041318,50,172,COMPLETE
19,19,0.8444444444444444,2023-05-31 00:44:58.695645,2023-05-31 00:45:05.016689,0 days 00:00:06.321044,0.3919576146025726,0.4555081608059033,4,12,0.04645962296144622,0.2025672438968583,50,163,COMPLETE
