Classifier,Success Rate
LDA,0.6
LDA CV,0.6166666666666666
KNN5,0.4666666666666667
KNN5 CV,0.5666666666666667
KNN7,0.26666666666666666
KNN7 CV,0.5166666666666666
SVC,0.6
SVC CV,0.6333333333333333
NB,0.6
NB CV,0.5333333333333334
LR,0.6666666666666666
LR CV,0.6666666666666666
LDA GA,0.8
LDA GA CV,0.7333333333333334
KNN5 GA,0.3333333333333333
KNN5 GA CV,0.5
KNN7 GA,0.6666666666666666
KNN7 GA CV,0.5666666666666667
SVC GA,0.4666666666666667
SVC GA CV,0.55
NB GA,0.4666666666666667
NB GA CV,0.6000000000000001
LR GA,0.7333333333333333
LR GA CV,0.7000000000000001
MV,0.6666666666666666
MV_GA,0.7333333333333333
MV_ALL,0.7333333333333333
STACKING,0.6666666666666666
OSTACKING ,0.6
OSTACKING GA,0.7333333333333333
OSTACKING ALL,0.6
MV CV,0.6499999999999999
MV_GA CV,0.7
MV_ALL CV,0.7
OSTACKING  CV,0.6333333333333333
OSTACKING GA CV,0.6666666666666667
OSTACKING ALL CV,0.6666666666666666
