Feature            Score (R^2) Left    Score (R^2) Right    Mean-Mean left    Var-Mean left    Mean-Mean right    Var-Mean right    Mean-Var left    Var-Var left    Mean-Var right    Var-Var right
E11_BP_BETA             0.000908157          0.00366459        0.0314268          0.0567152        0.0314761          0.0825485         0.845729       0.234273            0.876843         0.255803
E11_BP_GAMMA            0.00263987           0.00515915        0.031092           0.0565755        0.0303709          0.0825505         0.846705       0.233843            0.876532         0.254915
E11_BP_DELTA            0.00069349           0.000137696       0.0303625          0.0565567        0.0292628          0.082618          0.846961       0.233088            0.876505         0.254154
E11_BP_THETA            0.00018441           0.0220456         0.0293619          0.0566737        0.0277417          0.082912          0.846645       0.232713            0.875351         0.253718
E11_RTP                 0.00262922           0.0439479         0.0275608          0.057131         0.0268229          0.0832063         0.843894       0.233342            0.874592         0.254507
E11_SPEC_MOM            0.000213958          0.0186022         0.0258728          0.0575168        0.0254115          0.0834555         0.841484       0.233807            0.873328         0.254787
E11_SPEC_EDGE           0.00684734           0.0311113         0.024308           0.0578377        0.0248177          0.0837061         0.839351       0.234302            0.873888         0.255758
E11_SPEC_ENT            0.0203554            4.08269e-06       0.0229139          0.0581257        0.0232347          0.0840828         0.837439       0.234429            0.87312          0.256293
E11_SLOPE               0.000892505          0.000869858       0.022592           0.0579879        0.0227036          0.0839351         0.837712       0.233662            0.873798         0.2556
E11_INTERCEPT           1.18626e-05          0.00500702        0.0226076          0.0577774        0.02216            0.0837069         0.8382         0.232768            0.874932         0.255072
E11_MEAN_FREQ           0.0019488            0.0238336         0.0212423          0.0580948        0.0212549          0.0839331         0.837166       0.233014            0.873945         0.254807
E11_OCC_BAND            0.000615826          0.00214369        0.020399           0.0581213        0.0202459          0.0840072         0.837697       0.232349            0.873672         0.254067
E11_POWER_BAND          0.00106308           0.00421164        0.0199647          0.0580145        0.0192089          0.0840035         0.838581       0.231623            0.874059         0.253218
E11_WLT_ENT             0.00100084           9.45147e-08       0.0191952          0.0580407        0.0181677          0.0840623         0.839009       0.230747            0.874472         0.252449
E11_KURT                1.65584e-05          0.0172511         0.0182419          0.0581713        0.0169628          0.0842146         0.839253       0.230293            0.874038         0.251716
E11_SKEW                0.000308679          0.0450724         0.0165365          0.0585995        0.0161591          0.084402          0.837361       0.230261            0.872946         0.251744
E11_VAR                 0.000613289          0.0165595         0.0149321          0.058962         0.0149621          0.0845511         0.835518       0.230229            0.87174          0.25144
E11_STD                 0.00395233           0.0408286         0.0134597          0.0592624        0.014326           0.0847303         0.834169       0.229932            0.871699         0.25121
E11_LOG_ENE_ENT         0.0165876            0.0025294         0.0122285          0.0595074        0.0127435          0.0850663         0.832986       0.229754            0.870444         0.250942
