Feature            Score (R^2) Left    Score (R^2) Right    Mean-Mean left    Var-Mean left    Mean-Mean right    Var-Mean right    Mean-Var left    Var-Var left    Mean-Var right    Var-Var right
E3_BP_DELTA             0.00114066           0.00129677        0.0376551          0.0456428        0.00133545         0.0630076         0.945137       0.312574            0.848327         0.311246
E3_BP_THETA             0.00299777           0.0102048         0.0371631          0.0453727       -0.00179936         0.0630483         0.94604        0.309562            0.84892          0.308784
E3_RTP                  0.00198782           0.00164554        0.0357337          0.0453283       -0.00113524         0.0624604         0.944107       0.306876            0.850263         0.309014
E3_SPEC_MOM             0.00109512           1.06915e-05       0.0346839          0.0450274       -0.00164218         0.0620481         0.943115       0.303678            0.849224         0.305746
E3_SPEC_EDGE            0.000490343          8.9311e-06        0.0337204          0.0447621       -0.00265268         0.0611746         0.943342       0.301916            0.847874         0.302022
E3_SPEC_ENT             0.00145159           0.00130828        0.0332076          0.0442186       -0.00276014         0.0603274         0.944397       0.30214             0.847636         0.299674
E3_SLOPE                0.000358033          0.00128208        0.0312894          0.0438393       -0.00298077         0.0594538         0.939952       0.300146            0.850585         0.302854
E3_INTERCEPT            0.000339336          0.000557255       0.0308343          0.0433397       -0.00381324         0.0586671         0.937543       0.29887             0.851275         0.303935
E3_MEAN_FREQ            8.59749e-05          0.000496809       0.0290368          0.0431481       -0.0040081          0.0580738         0.934223       0.296459            0.85293          0.302288
E3_OCC_BAND             0.000154869          0.000434691       0.0276767          0.0425945       -0.00390241         0.0575366         0.931609       0.29411             0.853441         0.300936
E3_POWER_BAND           0.000146932          0.00043684        0.0264289          0.042131        -0.00356922         0.0572611         0.925937       0.292314            0.856332         0.301947
E3_WLT_ENT              0.00012807           0.00287604        0.0243296          0.0419602       -0.00373186         0.0568073         0.920991       0.291801            0.857355         0.308019
E3_KURT                 0.00158489           0.000327867       0.0234163          0.0416843       -0.00458964         0.0565742         0.920613       0.290265            0.859247         0.306676
E3_SKEW                 0.00116035           0.0116596         0.0228895          0.0412032       -0.00538257         0.0562473         0.919796       0.287594            0.862619         0.307662
E3_VAR                  0.00167657           0.0239397         0.0180391          0.0427781       -0.00827534         0.0574678         0.913903       0.291779            0.859501         0.307637
E3_STD                  0.00105333           0.00390555        0.0153658          0.042957        -0.0115672          0.0580753         0.913038       0.289088            0.858905         0.304866
E3_LOG_ENE_ENT          0.00264198           0.00469634        0.0145482          0.0426642       -0.0144809          0.0581823         0.915151       0.286437            0.858204         0.301156
E4_BP_ALPHA             0.000764536          0.000184155       0.012553           0.0427014       -0.0173288          0.0584618         0.915          0.283194            0.858468         0.297994
E4_BP_BETA              0.000285044          0.0226121         0.00972357         0.0431356       -0.021444           0.0593023         0.913096       0.281443            0.855114         0.295774
E4_BP_GAMMA             0.00305088           0.039155          0.00430895         0.044558        -0.0235625          0.0602837         0.903357       0.283847            0.853224         0.297433
E4_BP_DELTA             0.000225442          0.0157444        -0.000658603        0.0457221       -0.0271743          0.060937          0.894957       0.285516            0.849671         0.297401
E4_BP_THETA             0.00729601           0.0292773        -0.00510732         0.0466114       -0.0282717          0.0618923         0.887451       0.286829            0.851909         0.299842
E4_RTP                  0.0187789            6.51922e-06      -0.00901599         0.0473894       -0.0322725          0.0628586         0.880807       0.286956            0.850166         0.300719
E4_SPEC_MOM             0.000303109          0.00634254       -0.00904013         0.0469728       -0.0304039          0.0626639         0.881079       0.286651            0.854594         0.301758
E4_SPEC_EDGE            0.0010598            0.010479         -0.00942121         0.0465563       -0.0284163          0.0624694         0.881173       0.284529            0.859145         0.301688
E4_SPEC_ENT             0.00489451           0.0164185        -0.00517453         0.0476121       -0.0248771          0.0638317         0.880302       0.281749            0.858963         0.299088
E4_SLOPE                1.09418e-07          0.00577878       -0.00347886         0.0474379       -0.0215429          0.0644107         0.882731       0.280218            0.862241         0.29766
E4_INTERCEPT            0.00179348           0.00645276       -0.0027861          0.0470379       -0.0184799          0.0647602         0.884946       0.278706            0.868711         0.298659
E4_MEAN_FREQ            5.32027e-05          0.00128789       -0.00196102         0.0467155       -0.0154225          0.0653385         0.886829       0.278063            0.873242         0.299784
E4_OCC_BAND             0.000514758          0.022313          0.000111765        0.0468028       -0.0123492          0.0661963         0.890048       0.278889            0.875262         0.299619
E4_POWER_BAND           0.00489589           0.0429109         0.00447294         0.0479195       -0.00993191         0.0669763         0.88856        0.276631            0.873033         0.297509
E4_WLT_ENT              0.000807094          0.0143292         0.00822521         0.0486727       -0.00612316         0.0680502         0.885919       0.274434            0.871513         0.295127
E4_KURT                 0.0115899            0.0336739         0.0116306          0.0493144       -0.00366027         0.0689633         0.884944       0.271835            0.871352         0.293013
E4_SKEW                 0.0123333            0.00123776        0.0147571          0.0497413        0.000257298        0.0702689         0.883452       0.269286            0.869868         0.290523
E4_VAR                  0.000192927          0.00489658        0.0139612          0.0494537        0.0017746          0.0699551         0.882876       0.270562            0.874667         0.293686
E4_STD                  0.000450702          0.0114013         0.0134936          0.0490368        0.00298579         0.069587          0.88271        0.269211            0.878298         0.294492
E4_LOG_ENE_ENT          0.00625097           0.0144252         0.0169723          0.0498339        0.00547122         0.0704259         0.882585       0.267005            0.87787          0.291809
E5_BP_ALPHA             0.00022716           0.00483219        0.0177371          0.0495293        0.00804028         0.0707098         0.885323       0.266738            0.881157         0.292089
E5_BP_BETA              0.00089115           0.0025247         0.017899           0.0491864        0.0103154          0.0707087         0.887375       0.267003            0.887518         0.294999
E5_BP_GAMMA             4.78686e-05          0.00221865        0.0180871          0.0488328        0.0126011          0.0711336         0.889762       0.268837            0.891775         0.298175
E5_BP_DELTA             0.000275495          0.0185025         0.01965            0.0488737        0.0146539          0.0716071         0.893498       0.271778            0.894285         0.300695
E5_BP_THETA             0.00745779           0.0424728         0.0230635          0.0495652        0.0165499          0.072244          0.891472       0.269686            0.892605         0.298557
E5_RTP                  0.00131472           0.0133004         0.0260038          0.0500211        0.0196254          0.0730108         0.889186       0.267814            0.89138          0.296439
E5_SPEC_MOM             0.014324             0.037559          0.0285113          0.0503426        0.0214066          0.0736814         0.887241       0.265612            0.891321         0.294143
E5_SPEC_EDGE            0.0102494            0.00196271        0.030966           0.0505448        0.0244929          0.0745969         0.886268       0.263522            0.889898         0.291904
E5_SPEC_ENT             0.000332403          0.00592213        0.030576           0.0502025        0.0252331          0.0741816         0.886503       0.262595            0.892623         0.291672
E5_SLOPE                0.000957783          0.0086521         0.0298363          0.0498795        0.0261472          0.0737459         0.886844       0.260798            0.895279         0.290578
E5_INTERCEPT            0.00608597           0.0201409         0.0326744          0.0504363        0.0280856          0.0744909         0.884853       0.259458            0.894644         0.28887
