Classifier,Success Rate
LDA,0.5333333333333333
LDA CV,0.65
KNN-5,0.4666666666666667
KNN-5 CV,0.6166666666666667
KNN-7,0.5333333333333333
KNN-7 CV,0.6
SVC,0.4666666666666667
SVC CV,0.5999999999999999
NB,0.6
NB CV,0.55
LR,0.6
LR CV,0.65
LDA GA,0.5333333333333333
LDA GA CV,0.6499999999999999
KNN5 GA,0.3333333333333333
KNN5 GA CV,0.5666666666666667
KNN7 GA,0.4666666666666667
KNN7 GA CV,0.7
SVC GA,0.4666666666666667
SVC GA CV,0.6333333333333333
NB GA,0.6
NB GA CV,0.7
LR GA,0.5333333333333333
LR GA CV,0.65
MV,0.5333333333333333
MV_GA,0.5333333333333333
MV_ALL,0.6
STACKING,0.5333333333333333
OSTACKING ,0.4666666666666667
OSTACKING GA,0.5333333333333333
OSTACKING ALL,0.6
MV CV,0.7333333333333333
MV GA CV,0.5333333333333333
MV ALL CV,0.5333333333333333
OSTACKING CV,0.7333333333333333
OSTACKING GA CV,0.4
OSTACKING ALL CV,0.4666666666666667
