,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.6739130434782609,2023-05-30 20:47:15.674509,2023-05-30 20:47:17.741062,0 days 00:00:02.066553,0.17646479757227085,0.4755593724031462,3,10,0.08540925119486811,0.2415180788988393,50,171,COMPLETE
1,1,0.7391304347826086,2023-05-30 20:47:17.741422,2023-05-30 20:47:20.359218,0 days 00:00:02.617796,0.5792752286146827,0.4550212219919494,3,12,0.07604537725354608,0.3404207385787179,40,140,COMPLETE
2,2,0.6521739130434783,2023-05-30 20:47:20.359594,2023-05-30 20:47:23.137908,0 days 00:00:02.778314,0.550472878163431,0.4962796158527274,3,10,0.09228804591568379,0.3026600484915227,50,158,COMPLETE
3,3,0.8260869565217391,2023-05-30 20:47:23.138271,2023-05-30 20:47:32.495701,0 days 00:00:09.357430,0.6326238431219688,0.6683672876427211,5,10,0.03525377881413973,0.2943486342451511,40,178,COMPLETE
4,4,0.7391304347826086,2023-05-30 20:47:32.496101,2023-05-30 20:47:35.035108,0 days 00:00:02.539007,0.5907419167135863,0.3344942368173638,3,7,0.0490890285513364,0.2322845423133655,40,178,COMPLETE
5,5,0.7608695652173914,2023-05-30 20:47:35.035528,2023-05-30 20:47:39.902362,0 days 00:00:04.866834,0.13371578519607064,0.5423423755663681,5,13,0.030936756761597226,0.1900063142362457,60,153,COMPLETE
6,6,0.8043478260869565,2023-05-30 20:47:39.902733,2023-05-30 20:47:47.445214,0 days 00:00:07.542481,0.6520152796108728,0.5917848497576933,4,13,0.05303291973836527,0.1968085816419204,50,179,COMPLETE
7,7,0.6739130434782609,2023-05-30 20:47:47.445746,2023-05-30 20:47:51.717222,0 days 00:00:04.271476,0.7895927342655168,0.5995854097758606,4,9,0.030884403496285847,0.2207667240148695,60,141,COMPLETE
8,8,0.7608695652173914,2023-05-30 20:47:51.717598,2023-05-30 20:47:57.278998,0 days 00:00:05.561400,0.5643574495308173,0.5689247509754305,3,15,0.03522681876768458,0.2084496644823513,40,127,COMPLETE
9,9,0.9347826086956522,2023-05-30 20:47:57.279380,2023-05-30 20:48:02.215058,0 days 00:00:04.935678,0.577976038571099,0.3730856630765882,4,15,0.036806416750264234,0.18866600160457284,60,146,COMPLETE
10,10,0.6304347826086957,2023-05-30 20:48:02.215496,2023-05-30 20:48:03.988357,0 days 00:00:01.772861,0.35304561448950933,0.31790798358966765,4,5,0.06446059332339199,0.15312885009356297,60,125,COMPLETE
11,11,0.8695652173913043,2023-05-30 20:48:03.988742,2023-05-30 20:48:14.318341,0 days 00:00:10.329599,0.39124195591074074,0.6838843329810894,5,15,0.04270231239611666,0.2760653594408788,40,161,COMPLETE
12,12,0.782608695652174,2023-05-30 20:48:14.318762,2023-05-30 20:48:23.465379,0 days 00:00:09.146617,0.396191456941529,0.6697158201778255,5,15,0.04575098140439658,0.2658481316601101,60,164,COMPLETE
13,13,0.9130434782608695,2023-05-30 20:48:23.465766,2023-05-30 20:48:33.790052,0 days 00:00:10.324286,0.4492692742989597,0.40512994523307727,5,15,0.02559822517615943,0.2594255898189152,60,144,COMPLETE
14,14,0.782608695652174,2023-05-30 20:48:33.790433,2023-05-30 20:48:40.171450,0 days 00:00:06.381017,0.46965746491007065,0.39686399746076984,4,13,0.025054762334480098,0.2527256574433812,60,144,COMPLETE
15,15,0.7608695652173914,2023-05-30 20:48:40.171899,2023-05-30 20:48:45.452147,0 days 00:00:05.280248,0.3162851293215293,0.41944048580866994,4,12,0.026544700593255355,0.17474942761943302,60,148,COMPLETE
16,16,0.8260869565217391,2023-05-30 20:48:45.452522,2023-05-30 20:48:50.952192,0 days 00:00:05.499670,0.48177832503017537,0.37487821792046244,5,14,0.04121881226996767,0.2229544560331999,60,133,COMPLETE
17,17,0.8260869565217391,2023-05-30 20:48:50.952589,2023-05-30 20:48:53.526640,0 days 00:00:02.574051,0.28903140419893913,0.43236085628140486,4,8,0.05665049150661544,0.16665573458369792,60,134,COMPLETE
18,18,0.8478260869565217,2023-05-30 20:48:53.527017,2023-05-30 20:48:58.779151,0 days 00:00:05.252134,0.4783751591139966,0.36710886662200104,5,12,0.03682290539442892,0.19431584510906674,60,152,COMPLETE
19,19,0.8260869565217391,2023-05-30 20:48:58.779543,2023-05-30 20:49:01.634832,0 days 00:00:02.855289,0.7072075794374778,0.35076060738966264,4,14,0.04208737419200582,0.24691085295072976,60,135,COMPLETE
