,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.7777777777777778,2023-05-30 22:24:32.645205,2023-05-30 22:24:36.796128,0 days 00:00:04.150923,0.6058577409290505,0.33997202547626465,3,11,0.03337271058363534,0.21409987039213216,60,133,COMPLETE
1,1,0.6888888888888889,2023-05-30 22:24:36.796500,2023-05-30 22:24:45.013549,0 days 00:00:08.217049,0.5609557983955622,0.42111517369623797,5,13,0.03933389672792017,0.347942025194736,60,142,COMPLETE
2,2,0.7111111111111111,2023-05-30 22:24:45.014178,2023-05-30 22:24:50.182840,0 days 00:00:05.168662,0.7185892090782022,0.3224247245986502,5,10,0.0410359173646381,0.26014554953862234,40,177,COMPLETE
3,3,0.7777777777777778,2023-05-30 22:24:50.183204,2023-05-30 22:24:52.243736,0 days 00:00:02.060532,0.3642979530957481,0.4944435088127371,3,9,0.07946246812006708,0.300505682095067,40,120,COMPLETE
4,4,0.6666666666666666,2023-05-30 22:24:52.244115,2023-05-30 22:24:56.873847,0 days 00:00:04.629732,0.2645945473842276,0.4704150858296031,4,13,0.06390132976327714,0.19044019566357337,60,138,COMPLETE
5,5,0.7555555555555555,2023-05-30 22:24:56.874222,2023-05-30 22:25:00.421707,0 days 00:00:03.547485,0.357463331680285,0.3362896427923558,3,14,0.06605399962430075,0.3364573365415561,40,159,COMPLETE
6,6,0.7333333333333333,2023-05-30 22:25:00.422080,2023-05-30 22:25:04.975029,0 days 00:00:04.552949,0.16315317085904874,0.5254336257828042,4,14,0.05796805721878919,0.25987061981700876,60,130,COMPLETE
7,7,0.6888888888888889,2023-05-30 22:25:04.975413,2023-05-30 22:25:07.284689,0 days 00:00:02.309276,0.45678172069100775,0.3803249927724225,3,6,0.08769490891741835,0.1751091573224008,50,140,COMPLETE
8,8,0.6888888888888889,2023-05-30 22:25:07.285057,2023-05-30 22:25:13.086599,0 days 00:00:05.801542,0.3516635180439086,0.4746956034600074,5,6,0.06554238512845675,0.3240386027679636,60,176,COMPLETE
9,9,0.7111111111111111,2023-05-30 22:25:13.086963,2023-05-30 22:25:15.851546,0 days 00:00:02.764583,0.24820761429677307,0.45855531599994237,4,5,0.09863917607138764,0.29929012121410337,40,155,COMPLETE
10,10,0.6888888888888889,2023-05-30 22:25:15.851921,2023-05-30 22:25:20.559983,0 days 00:00:04.708062,0.7909671588025069,0.5987249712621897,3,11,0.02807374072858061,0.2128860231524562,50,122,COMPLETE
11,11,0.6666666666666666,2023-05-30 22:25:20.560362,2023-05-30 22:25:26.013959,0 days 00:00:05.453597,0.5856939397790022,0.6939936590642584,3,9,0.08126129068884999,0.15405769330037425,40,122,COMPLETE
12,12,0.6444444444444445,2023-05-30 22:25:26.014344,2023-05-30 22:25:30.972938,0 days 00:00:04.958594,0.5039776551319356,0.3079929662248903,3,8,0.026800908861177992,0.22568527549826634,60,130,COMPLETE
13,13,0.7111111111111111,2023-05-30 22:25:30.973318,2023-05-30 22:25:32.998373,0 days 00:00:02.025055,0.6345660745925625,0.3918808559320225,3,11,0.07815341365690419,0.28624196959226034,40,120,COMPLETE
14,14,0.6666666666666666,2023-05-30 22:25:32.998763,2023-05-30 22:25:36.507749,0 days 00:00:03.508986,0.4168518005591426,0.530369833527636,4,8,0.050069140056361275,0.23620266208704555,50,131,COMPLETE
15,15,0.7333333333333333,2023-05-30 22:25:36.508131,2023-05-30 22:25:38.992634,0 days 00:00:02.484503,0.6504378061770698,0.3655126481306632,3,11,0.07285815195611622,0.2786227864775634,60,150,COMPLETE
16,16,0.7111111111111111,2023-05-30 22:25:38.992999,2023-05-30 22:25:43.052142,0 days 00:00:04.059143,0.5263084359738023,0.4242464463667577,4,9,0.05267402710551543,0.3098977044556777,40,133,COMPLETE
17,17,0.6222222222222222,2023-05-30 22:25:43.052511,2023-05-30 22:25:46.993269,0 days 00:00:03.940758,0.46010105306916343,0.3669450262924743,3,12,0.07046640254717165,0.24690790349685768,40,147,COMPLETE
18,18,0.6444444444444445,2023-05-30 22:25:46.993658,2023-05-30 22:25:50.095678,0 days 00:00:03.102020,0.63340998813776,0.3047623829404622,4,8,0.05631897007532702,0.2108914493902877,60,164,COMPLETE
19,19,0.6666666666666666,2023-05-30 22:25:50.096048,2023-05-30 22:25:52.657416,0 days 00:00:02.561368,0.10576260763847611,0.571130831208434,3,10,0.04728419252398311,0.2701909230093507,50,127,COMPLETE
