,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.6444444444444445,2023-05-31 01:50:56.374504,2023-05-31 01:50:59.424221,0 days 00:00:03.049717,0.3217327736174733,0.4504829954950594,5,6,0.04102562143268701,0.31638620053061417,50,131,COMPLETE
1,1,0.6444444444444445,2023-05-31 01:50:59.424587,2023-05-31 01:51:01.958278,0 days 00:00:02.533691,0.4856624548270383,0.42776377662644216,3,7,0.04071262433222904,0.2688558708206602,40,156,COMPLETE
2,2,0.5333333333333333,2023-05-31 01:51:01.958655,2023-05-31 01:51:06.391260,0 days 00:00:04.432605,0.7454910359513652,0.577804460813319,3,11,0.05776944530320512,0.18424839431833498,60,166,COMPLETE
3,3,0.6,2023-05-31 01:51:06.391636,2023-05-31 01:51:09.488783,0 days 00:00:03.097147,0.27027396963319256,0.4094309510046714,4,11,0.026537474772331978,0.2469024447318956,40,163,COMPLETE
4,4,0.6,2023-05-31 01:51:09.489157,2023-05-31 01:51:13.265021,0 days 00:00:03.775864,0.73948512261281,0.35470992684545377,3,8,0.041640517017462075,0.31215817777544563,60,165,COMPLETE
5,5,0.5777777777777777,2023-05-31 01:51:13.265398,2023-05-31 01:51:15.705360,0 days 00:00:02.439962,0.2785432455758825,0.3495328512881486,4,7,0.044778909051363225,0.1766782386296122,50,146,COMPLETE
6,6,0.6,2023-05-31 01:51:15.705727,2023-05-31 01:51:20.154144,0 days 00:00:04.448417,0.76073656618625,0.4639113505687087,3,13,0.07775944371433298,0.3460687591807378,60,160,COMPLETE
7,7,0.7333333333333333,2023-05-31 01:51:20.154518,2023-05-31 01:51:25.612359,0 days 00:00:05.457841,0.6247052688837094,0.6690014999005813,5,6,0.04804932243927931,0.26673770802003255,50,163,COMPLETE
8,8,0.6222222222222222,2023-05-31 01:51:25.612736,2023-05-31 01:51:27.981020,0 days 00:00:02.368284,0.20157846991450132,0.30341951231955744,3,12,0.08144290637817331,0.267154317614991,50,137,COMPLETE
9,9,0.6444444444444445,2023-05-31 01:51:27.981397,2023-05-31 01:51:32.030887,0 days 00:00:04.049490,0.1496538383143293,0.45012555803116466,3,8,0.03071632312964383,0.23320940237160334,40,163,COMPLETE
10,10,0.6888888888888889,2023-05-31 01:51:32.031261,2023-05-31 01:51:36.019315,0 days 00:00:03.988054,0.5756796874216634,0.6841839345639843,5,5,0.09199088879811222,0.21518259866101935,50,174,COMPLETE
11,11,0.6666666666666666,2023-05-31 01:51:36.019713,2023-05-31 01:51:41.265007,0 days 00:00:05.245294,0.581305068478464,0.6988699334200013,5,5,0.08915313645988363,0.2206307744774624,50,178,COMPLETE
12,12,0.6444444444444445,2023-05-31 01:51:41.265381,2023-05-31 01:51:45.659933,0 days 00:00:04.394552,0.6091186419394943,0.6872643886123474,5,5,0.0993291520200837,0.21161550064626758,50,179,COMPLETE
13,13,0.6666666666666666,2023-05-31 01:51:45.660309,2023-05-31 01:51:54.780770,0 days 00:00:09.120461,0.45804121250084034,0.6148382347291536,5,15,0.06598282849072222,0.16136901008029958,50,173,COMPLETE
14,14,0.5777777777777777,2023-05-31 01:51:54.781137,2023-05-31 01:51:59.663095,0 days 00:00:04.881958,0.6096785528487352,0.5552900399416694,4,8,0.06163575161204399,0.2067823455349876,50,152,COMPLETE
15,15,0.8,2023-05-31 01:51:59.663471,2023-05-31 01:52:08.280109,0 days 00:00:08.616638,0.534414930972892,0.6443959821902322,5,9,0.09932772880215233,0.26122220102944893,50,171,COMPLETE
16,16,0.6888888888888889,2023-05-31 01:52:08.280503,2023-05-31 01:52:13.580609,0 days 00:00:05.300106,0.3499661496272467,0.6356463522025946,5,9,0.07057614641141918,0.27101105665276226,50,142,COMPLETE
17,17,0.6888888888888889,2023-05-31 01:52:13.580982,2023-05-31 01:52:18.373341,0 days 00:00:04.792359,0.40253307345863265,0.5268659200770782,4,10,0.0533085148386092,0.28687791777803684,50,170,COMPLETE
18,18,0.6888888888888889,2023-05-31 01:52:18.373722,2023-05-31 01:52:23.164426,0 days 00:00:04.790704,0.5038058052402143,0.6313825151240868,4,9,0.07200959913834802,0.24056177166687176,60,125,COMPLETE
19,19,0.6666666666666666,2023-05-31 01:52:23.164794,2023-05-31 01:52:30.490227,0 days 00:00:07.325433,0.6496798410071892,0.5161738085602834,5,14,0.05397363066192233,0.25404748179102776,40,154,COMPLETE
