,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.7555555555555555,2023-05-30 22:21:52.521718,2023-05-30 22:21:56.339275,0 days 00:00:03.817557,0.17081202068069615,0.5291363529066475,4,10,0.02553083002045761,0.19619662444701896,60,141,COMPLETE
1,1,0.7777777777777778,2023-05-30 22:21:56.339670,2023-05-30 22:22:01.484095,0 days 00:00:05.144425,0.798161062877398,0.5443782105806036,4,15,0.06895696019256244,0.29539605447395023,60,153,COMPLETE
2,2,0.8222222222222222,2023-05-30 22:22:01.484478,2023-05-30 22:22:08.792452,0 days 00:00:07.307974,0.29270139664372097,0.6571442793356617,5,11,0.033806742346219346,0.3017473352995439,40,128,COMPLETE
3,3,0.9333333333333333,2023-05-30 22:22:08.792824,2023-05-30 22:22:15.438758,0 days 00:00:06.645934,0.27137908068122496,0.571014813346477,5,14,0.044457107596567354,0.2636568068644796,50,156,COMPLETE
4,4,0.7111111111111111,2023-05-30 22:22:15.439136,2023-05-30 22:22:18.302013,0 days 00:00:02.862877,0.648388904474814,0.5399384386784969,5,7,0.09204204978620548,0.32855336174137806,50,138,COMPLETE
5,5,0.6888888888888889,2023-05-30 22:22:18.302394,2023-05-30 22:22:20.783418,0 days 00:00:02.481024,0.3805745559161501,0.43978644544553464,3,15,0.08031197020550591,0.2609363615987195,40,141,COMPLETE
6,6,0.8444444444444444,2023-05-30 22:22:20.783783,2023-05-30 22:22:24.641726,0 days 00:00:03.857943,0.18222717599113508,0.5218037018702546,5,10,0.08189400473761796,0.31944512127569547,50,176,COMPLETE
7,7,0.8888888888888888,2023-05-30 22:22:24.642137,2023-05-30 22:22:27.898596,0 days 00:00:03.256459,0.7495030985015779,0.5255049830861765,3,12,0.05799446909348773,0.23191997739575798,50,136,COMPLETE
8,8,0.8666666666666667,2023-05-30 22:22:27.898981,2023-05-30 22:22:35.776561,0 days 00:00:07.877580,0.6045900461009006,0.6483507375918718,4,13,0.0574295687217423,0.22067088662289217,60,171,COMPLETE
9,9,0.7555555555555555,2023-05-30 22:22:35.776929,2023-05-30 22:22:38.183497,0 days 00:00:02.406568,0.16373535851984977,0.36226235066126317,3,11,0.06122799647311502,0.2677839016224909,50,171,COMPLETE
10,10,0.6888888888888889,2023-05-30 22:22:38.183864,2023-05-30 22:22:40.460043,0 days 00:00:02.276179,0.4307954258825625,0.3054550375793413,5,6,0.04478252623370271,0.16812761843748786,50,156,COMPLETE
11,11,0.8444444444444444,2023-05-30 22:22:40.460429,2023-05-30 22:22:43.741043,0 days 00:00:03.280614,0.5139831987422303,0.6080417875597821,3,13,0.04752516343956971,0.2293107667155713,50,120,COMPLETE
12,12,0.8222222222222222,2023-05-30 22:22:43.741430,2023-05-30 22:22:47.481169,0 days 00:00:03.739739,0.31524786683829786,0.4566334265828417,3,13,0.04818209815217455,0.24174093358164328,50,154,COMPLETE
13,13,0.8222222222222222,2023-05-30 22:22:47.481548,2023-05-30 22:22:52.733460,0 days 00:00:05.251912,0.7719657891715418,0.5922212778783891,4,12,0.039065786831587984,0.27145195364015984,50,162,COMPLETE
14,14,0.8222222222222222,2023-05-30 22:22:52.733834,2023-05-30 22:22:56.347013,0 days 00:00:03.613179,0.5114717772611481,0.4668898073767871,4,14,0.057199207893907124,0.21263026299009488,50,132,COMPLETE
15,15,0.8,2023-05-30 22:22:56.347407,2023-05-30 22:23:00.844353,0 days 00:00:04.496946,0.69753564411232,0.6918236010083136,5,7,0.06696462518750948,0.3465563103631875,40,147,COMPLETE
16,16,0.8222222222222222,2023-05-30 22:23:00.844736,2023-05-30 22:23:04.989789,0 days 00:00:04.145053,0.5742892922217645,0.5853025165064112,3,9,0.05000657572701834,0.26150105467028895,50,163,COMPLETE
17,17,0.7555555555555555,2023-05-30 22:23:04.990167,2023-05-30 22:23:11.535378,0 days 00:00:06.545211,0.7155492940841659,0.5663181993318194,4,14,0.03660567522816846,0.24109686384972237,50,148,COMPLETE
18,18,0.8,2023-05-30 22:23:11.535764,2023-05-30 22:23:15.139076,0 days 00:00:03.603312,0.2633531494261308,0.48866638314324196,4,12,0.05328167007013148,0.20282088561296224,40,127,COMPLETE
19,19,0.7111111111111111,2023-05-30 22:23:15.139462,2023-05-30 22:23:18.295101,0 days 00:00:03.155639,0.10132674654089668,0.5052213963531206,5,9,0.06407961670201229,0.28572728042431783,60,160,COMPLETE
