,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.7608695652173914,2023-05-31 02:25:49.607048,2023-05-31 02:25:57.103107,0 days 00:00:07.496059,0.31750324420190557,0.4147294503275778,3,13,0.07863921715315922,0.21506095586296237,50,126,COMPLETE
1,1,0.8913043478260869,2023-05-31 02:25:57.103766,2023-05-31 02:26:17.035744,0 days 00:00:19.931978,0.31908170710649975,0.30900202330937815,4,14,0.03147995967266891,0.18923873796255952,40,176,COMPLETE
2,2,0.8043478260869565,2023-05-31 02:26:17.036121,2023-05-31 02:26:55.626993,0 days 00:00:38.590872,0.19314531559705,0.5772085199664946,5,15,0.04521789399575406,0.22890604700312095,50,171,COMPLETE
3,3,0.8043478260869565,2023-05-31 02:26:55.627438,2023-05-31 02:27:12.530828,0 days 00:00:16.903390,0.7249936465977973,0.6582964349729293,3,11,0.09289872221018883,0.24181290377259412,60,166,COMPLETE
4,4,0.782608695652174,2023-05-31 02:27:12.531223,2023-05-31 02:27:19.269242,0 days 00:00:06.738019,0.17469948387349368,0.3880260090393301,5,9,0.0979313882197809,0.25158059542369615,60,140,COMPLETE
5,5,0.8043478260869565,2023-05-31 02:27:19.269636,2023-05-31 02:27:29.573710,0 days 00:00:10.304074,0.7433756052661775,0.5392199407381565,3,14,0.09617588032864552,0.26141399361401324,60,171,COMPLETE
6,6,0.7391304347826086,2023-05-31 02:27:29.574092,2023-05-31 02:27:38.901461,0 days 00:00:09.327369,0.4764006151374086,0.529215715399989,4,6,0.09734038050202243,0.29538272871222365,40,165,COMPLETE
7,7,0.717391304347826,2023-05-31 02:27:38.901870,2023-05-31 02:27:42.858322,0 days 00:00:03.956452,0.20238373544396393,0.4199689633876698,3,9,0.08374694564568534,0.3452583368520523,40,153,COMPLETE
8,8,0.8043478260869565,2023-05-31 02:27:42.858704,2023-05-31 02:27:54.204452,0 days 00:00:11.345748,0.682952426664997,0.5263647441953551,4,8,0.05207385130339975,0.2637824008271279,40,142,COMPLETE
9,9,0.7391304347826086,2023-05-31 02:27:54.204830,2023-05-31 02:27:58.799112,0 days 00:00:04.594282,0.31066307571510066,0.5247217712912876,4,5,0.045741410181710705,0.21639939345424208,40,142,COMPLETE
10,10,0.8478260869565217,2023-05-31 02:27:58.799533,2023-05-31 02:28:15.042888,0 days 00:00:16.243355,0.4896106693225425,0.3065948995324225,5,12,0.025299248551696178,0.16082357575412165,40,180,COMPLETE
11,11,0.9565217391304348,2023-05-31 02:28:15.043271,2023-05-31 02:28:34.154275,0 days 00:00:19.111004,0.49724902180221586,0.30384659260890445,5,12,0.026903525410788345,0.15727601338943728,40,180,COMPLETE
12,12,0.8695652173913043,2023-05-31 02:28:34.154678,2023-05-31 02:28:49.982407,0 days 00:00:15.827729,0.5471001715163492,0.30005650815519924,5,12,0.028889307013307497,0.1799758467505603,40,179,COMPLETE
13,13,0.8695652173913043,2023-05-31 02:28:49.982811,2023-05-31 02:29:09.109116,0 days 00:00:19.126305,0.3835685882446287,0.3601299592464548,4,15,0.03640924010255582,0.16231237180621813,40,161,COMPLETE
14,14,0.7608695652173914,2023-05-31 02:29:09.109579,2023-05-31 02:29:32.188652,0 days 00:00:23.079073,0.5788111600144434,0.46294189257268303,4,13,0.03551878780010172,0.19460669925132806,40,157,COMPLETE
15,15,0.8043478260869565,2023-05-31 02:29:32.189041,2023-05-31 02:29:48.545466,0 days 00:00:16.356425,0.387908787405362,0.350754362178593,5,11,0.05887198449983616,0.18647803876614177,50,174,COMPLETE
16,16,0.8478260869565217,2023-05-31 02:29:48.545853,2023-05-31 02:29:57.823226,0 days 00:00:09.277373,0.6156450274867276,0.33569322792553774,4,14,0.034915543671127425,0.15420573522966177,40,121,COMPLETE
17,17,0.8478260869565217,2023-05-31 02:29:57.823638,2023-05-31 02:30:15.947785,0 days 00:00:18.124147,0.4279096834825813,0.4524931580304657,5,10,0.025009761168293433,0.15140913978556697,40,175,COMPLETE
18,18,0.782608695652174,2023-05-31 02:30:15.948323,2023-05-31 02:30:33.649468,0 days 00:00:17.701145,0.29230415007209787,0.3512604557946894,4,13,0.06573561205182411,0.19495433892679323,60,149,COMPLETE
19,19,0.8478260869565217,2023-05-31 02:30:33.649864,2023-05-31 02:30:42.686200,0 days 00:00:09.036336,0.1223861333348612,0.30483849584338835,5,11,0.04271719310336653,0.1797229288026291,50,164,COMPLETE
