,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8695652173913043,2023-05-30 21:27:24.754369,2023-05-30 21:27:27.222776,0 days 00:00:02.468407,0.23507732726970462,0.46836184741385034,4,12,0.06223212736713603,0.24100499706249004,40,141,COMPLETE
1,1,0.8260869565217391,2023-05-30 21:27:27.223141,2023-05-30 21:27:35.736374,0 days 00:00:08.513233,0.49605704332625844,0.6993082646034657,4,11,0.05424430828456562,0.25162667520028315,40,169,COMPLETE
2,2,0.9130434782608695,2023-05-30 21:27:35.736746,2023-05-30 21:27:45.026040,0 days 00:00:09.289294,0.5526843674704826,0.6274029116700786,5,14,0.09854443786390599,0.2580066757330696,60,161,COMPLETE
3,3,0.8695652173913043,2023-05-30 21:27:45.026449,2023-05-30 21:27:47.305736,0 days 00:00:02.279287,0.6240321404897178,0.5349610220176484,3,10,0.07711695687077028,0.22421657796182146,60,129,COMPLETE
4,4,0.8260869565217391,2023-05-30 21:27:47.306103,2023-05-30 21:27:49.521232,0 days 00:00:02.215129,0.47072286244019423,0.39412661055875303,3,5,0.07572755219642124,0.2501200558088265,60,176,COMPLETE
5,5,0.8695652173913043,2023-05-30 21:27:49.521758,2023-05-30 21:27:52.248090,0 days 00:00:02.726332,0.3194273432159831,0.34062667809066177,4,14,0.05359684742036598,0.15470530039548214,40,124,COMPLETE
6,6,0.8695652173913043,2023-05-30 21:27:52.248747,2023-05-30 21:27:55.694387,0 days 00:00:03.445640,0.3257486866905701,0.3954451477373271,3,12,0.08783330432335948,0.3490677086288333,40,177,COMPLETE
7,7,0.8260869565217391,2023-05-30 21:27:55.694753,2023-05-30 21:27:57.833275,0 days 00:00:02.138522,0.5874611828706635,0.3702825264047066,4,8,0.09295831411645014,0.20237827616154289,40,130,COMPLETE
8,8,0.8478260869565217,2023-05-30 21:27:57.833644,2023-05-30 21:28:02.537109,0 days 00:00:04.703465,0.28781733018918215,0.6797639544868994,4,6,0.0864237367002276,0.30046946805359587,60,177,COMPLETE
9,9,0.8260869565217391,2023-05-30 21:28:02.537485,2023-05-30 21:28:05.431349,0 days 00:00:02.893864,0.5380840032068878,0.3378408903051883,5,6,0.05775394326616355,0.27218069498908565,50,172,COMPLETE
10,10,0.8260869565217391,2023-05-30 21:28:05.431737,2023-05-30 21:28:19.175841,0 days 00:00:13.744104,0.7865371563577486,0.6016887516927166,5,15,0.03495829308792575,0.29138632130033887,50,159,COMPLETE
11,11,0.8478260869565217,2023-05-30 21:28:19.176483,2023-05-30 21:28:22.271937,0 days 00:00:03.095454,0.1007482606608992,0.4919305321070223,5,13,0.07108964394339849,0.21706364475125087,60,141,COMPLETE
12,12,0.8260869565217391,2023-05-30 21:28:22.272324,2023-05-30 21:28:24.548980,0 days 00:00:02.276656,0.11981955900393741,0.4767084713949653,5,10,0.09756546436179292,0.18354432827030853,40,149,COMPLETE
13,13,0.8478260869565217,2023-05-30 21:28:24.549403,2023-05-30 21:28:29.904841,0 days 00:00:05.355438,0.3829543867379188,0.6003823782294488,4,13,0.06493921736469258,0.24579235360354096,60,161,COMPLETE
14,14,0.9347826086956522,2023-05-30 21:28:29.905214,2023-05-30 21:28:32.742920,0 days 00:00:02.837706,0.21934461343192105,0.44713197718859493,5,15,0.08274075903890665,0.2769670208245612,50,142,COMPLETE
15,15,0.8913043478260869,2023-05-30 21:28:32.743292,2023-05-30 21:28:40.114580,0 days 00:00:07.371288,0.4085693929435472,0.5454038416412957,5,15,0.09939210922546023,0.28141623972463486,50,153,COMPLETE
16,16,0.8913043478260869,2023-05-30 21:28:40.115127,2023-05-30 21:28:44.132398,0 days 00:00:04.017271,0.1967513890927896,0.4284913186602463,5,15,0.08583489027743926,0.31675659912454235,50,141,COMPLETE
17,17,0.8478260869565217,2023-05-30 21:28:44.132793,2023-05-30 21:28:47.821164,0 days 00:00:03.688371,0.42123377230428277,0.31115588741618044,5,14,0.09956969251799229,0.26571600496610936,50,164,COMPLETE
18,18,0.8695652173913043,2023-05-30 21:28:47.821543,2023-05-30 21:28:50.898536,0 days 00:00:03.076993,0.20484495689383175,0.4415282829053323,5,9,0.08144303746783736,0.31111373183950125,50,150,COMPLETE
19,19,0.9130434782608695,2023-05-30 21:28:50.898939,2023-05-30 21:28:55.336914,0 days 00:00:04.437975,0.652226002633787,0.5261853802431785,5,13,0.09150973473617048,0.2711522457188154,60,136,COMPLETE
