Classifier,Success Rate
LDA,0.5333333333333333
LDA CV,0.7
SVC,0.5333333333333333
SVC CV,0.6166666666666667
NB,0.5333333333333333
NB CV,0.6166666666666667
LR,0.5333333333333333
LR CV,0.6666666666666667
LDA GA,0.5333333333333333
LDA GA CV,0.6833333333333333
SVC GA,0.7333333333333333
SVC GA CV,0.7833333333333334
NB GA,0.5333333333333333
NB GA CV,0.6166666666666667
LR GA,0.6666666666666666
LR GA CV,0.7333333333333333
MV,0.4666666666666667
MV_GA,0.6666666666666666
MV_ALL,0.6
STACKING,0.5333333333333333
OSTACKING ,0.4666666666666667
OSTACKING GA,0.6
OSTACKING ALL,0.5333333333333333
MV CV,0.6833333333333333
MV_GA CV,0.7833333333333334
MV_ALL CV,0.7
OSTACKING  CV,0.6500000000000001
OSTACKING GA CV,0.7166666666666666
OSTACKING ALL CV,0.7
